Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,0.441563433372144,0.38686445740025,0.400163245141387,0.408612107587247,0.403402863258424,NaN,0.403402863258424
0.4~0.6,0.304061038991207,0.267275381253791,0.269470809934133,0.264894684395381,0.261450535249511,0.281977758659479,0.258156057053802
0.6~0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.384270769046754,0.336637045418737,0.371410909395791,0.363524288546662,0.352300025175215,0.281977758659479,0.345852241932064
