Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,0.679742330710685,0.677215217472627,0.650281992124926,0.683411747143206,0.684469795694694,NaN,0.684469795694694
0.2~0.4,0.492692147755509,0.397678853420215,0.414411675569359,0.402548948444971,0.404898001040871,0.349685509230871,0.404898001040871
0.4~0.6,0.324674600404887,0.272934246180718,0.268971208039531,0.250662783799649,0.256370832650106,0.285104588456835,0.246812898005178
0.6~0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.459860493543039,0.408769187803395,0.481872133425784,0.468123257685155,0.463826620113052,0.292702343842016,0.436316973011077
