Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,0.765670285948374,0.775496916447315,0.724173883481235,NaN,0.724173883481235
0.2~0.4,0.59788062966709,0.481734638808212,0.525313422840241,0.512288399799787,0.531362909158469,NaN,0.531362909158469
0.4~0.6,0.364533912280447,0.326240390378237,0.328528115226755,0.328631419789626,0.324622922977462,NaN,0.324622922977462
0.6~0.8,0.280364678470932,0.278009221673797,0.269149839332876,0.265439327745754,0.258556854437511,NaN,0.258556854437511
0.8~1.0,NaN,0.262844605871729,0.238530460468086,0.248956953011568,0.240385658686273,0.243205415180025,0.238459777835349
total,0.508709082243125,0.420367582433531,0.468766243019327,0.479272598521746,0.466749017045404,0.243205415180025,0.457540412242965
