Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,0.520175084201416,0.431999496346249,0.470790550739296,0.42938960255384,0.419983565172963,NaN,0.419983565172963
0.4~0.6,0.335592962899928,0.299175611948003,0.29106582023407,0.267019002568855,0.261137837702664,0.234173380001984,0.24058268098595
0.6~0.8,NaN,NaN,NaN,NaN,NaN,0.209453686483995,0.209453686483995
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.397120336667091,0.378869942586951,0.370144701656369,0.357224891449402,0.355834329079189,0.23320398025618,0.302371101444304
