Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,0.5626492979221,0.41826861828147,0.426854767035392,0.43908984631836,0.422593393745327,NaN,0.422593393745327
0.4~0.6,0.350146873336201,0.289046166503965,0.294397776877722,0.280571748008471,0.277374284079955,0.248877016996257,0.250263597438342
0.6~0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.483578628308743,0.356241841428268,0.374371808671032,0.386250480215063,0.372325240399621,0.248877016996257,0.319195515961136
