Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,0.641198003677886,0.430494264306848,0.467761238587658,0.443417693695081,0.446392183791457,NaN,0.446392183791457
0.4~0.6,0.422128314168523,0.36345181838878,0.342021780943723,0.321280900197077,0.319696041987804,NaN,0.319696041987804
0.6~0.8,NaN,0.336556813420903,0.314080826165077,0.289922340065166,0.288867641948122,NaN,0.288867641948122
0.8~1.0,0.309748488938351,0.303353360933934,0.271619682103233,0.252028850859394,0.263458887378321,0.228111586882342,0.23982557461256
total,0.552724519252546,0.392569093240337,0.392751136762111,0.379558536751088,0.391715995152155,0.228111586882342,0.389352663875579
