Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,NaN,0.561165583618954,0.501661363915349,0.463191243728716,0.476850450399654,NaN,0.476850450399654
0.4~0.6,0.440174313142692,0.36361808491517,0.362470982208569,0.348414861449468,0.338709680567813,NaN,0.338709680567813
0.6~0.8,NaN,0.306338089686421,NaN,NaN,0.294366194705983,NaN,0.294366194705983
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.440174313142692,0.438965685915211,0.433331540168384,0.404759630932008,0.416370363772691,Inf,0.416370363772691
