Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,0.636745674587148,0.555949495537223,0.609185333548596,0.578906748238226,0.54737484946422,NaN,0.54737484946422
0.2~0.4,0.475694089991587,0.429178189519336,0.41585829857069,0.406081987288975,0.378813019530498,0.372966331756147,0.378813019530498
0.4~0.6,0.425549325357075,0.360694057710432,0.353805434280854,0.35215187746548,0.348800080657191,0.345255877429357,0.34058935780258
0.6~0.8,NaN,0.334448455282516,0.334568128072299,0.324669366211614,0.323415926388307,NaN,0.323415926388307
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.568481944809909,0.490057430387548,0.482126530444122,0.42719082368776,0.427308257078102,0.356340059160073,0.433221279050644
