Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,0.642371355842629,0.526264283199199,0.634410534626841,0.634410534626841,0.634410534626841,NaN,0.634410534626841
0.4~0.6,0.439883847518966,0.432851425124559,0.432851425124559,0.395769673133279,0.395769673133279,NaN,0.395769673133279
0.6~0.8,0.396465992986456,0.389433570592049,0.389433570592049,0.322038114846031,0.322038114846031,NaN,0.322038114846031
0.8~1.0,NaN,0.334448455282516,0.359688469279781,0.318064136768775,0.318064136768775,0.34313610236564,0.318064136768775
total,0.612478497763973,0.480506373120993,0.575823463789712,0.5693516792959,0.5693516792959,0.34313610236564,0.5693516792959
