Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,0.468468589464951,0.44225101474822,0.472169687336992,0.41627600784303,0.409030209089034,0.350269301907652,0.410898929134066
0.4~0.6,0.33479807591156,0.334448455282516,0.33479807591156,0.318468894922557,0.318468894922557,NaN,0.318468894922557
0.6~0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.451033305088422,0.440094963558906,0.452545171419073,0.406961044707746,0.399974077672387,0.350269301907652,0.401169451848644
