Strategy,QoS_Fitness,Energy_Fitness,Quality,Cost,Time,Energy_Raw,Run_Time,HV
MOPSO-333,0.353216227967135,0.438472128092891,0.86054525162744,5247.42987012662,572.295389900161,577.237325969577,22.0973947,0.630024073875658
MOPSO-333,0.294392972885945,0.53348157329784,0.860732936712171,5214.079646491,483.132166493221,702.314827088049,22.0973947,0.630024073875658
MOPSO-333,0.277908493590226,0.591323766179709,0.84017572754491,5189.71441241437,425.929212124741,778.462592494642,22.0973947,0.630024073875658
MOPSO-333,0.424819009002487,0.401121990348755,0.881567836730265,5332.07860921905,707.721602265736,528.066826285152,22.0973947,0.630024073875658
MOPSO-333,0.30125969424498,0.53123849228837,0.841096530339018,5145.45366545975,475.775041373307,699.361868391515,22.0973947,0.630024073875658
MOPSO-333,0.356709388650436,0.437966517596952,0.851272235169915,5222.6205339394,567.550798170732,576.571702701964,22.0973947,0.630024073875658
MOPSO-333,0.286459369594914,0.575006683190425,0.841230726777841,5170.49015288494,446.088001917988,756.981570671602,22.0973947,0.630024073875658
MOPSO-333,0.314338102492434,0.507229201844013,0.814912957773697,5120.21700788521,457.747687026932,667.754252475751,22.0973947,0.630024073875658
MOPSO-333,0.35893796824084,0.437366378281272,0.848079134601085,5206.2868202015,569.331619386559,575.781634664347,22.0973947,0.630024073875658
MOPSO-333,0.34229776536493,0.475004509587371,0.877277275078382,5301.74216378564,571.141171540458,625.331270496665,22.0973947,0.630024073875658
MOPSO-333,0.315994295668397,0.502766668684772,0.800208997127117,5065.15446786033,447.312005758599,661.879441871268,22.0973947,0.630024073875658
MOPSO-333,0.440532911595169,0.322344389029666,0.854985763979476,5241.93554213428,707.721602265736,424.358131893305,22.0973947,0.630024073875658
MOPSO-333,0.349593855873254,0.462687761217271,0.866509310710336,5266.93535521074,572.295389900161,609.116586738498,22.0973947,0.630024073875658
MOPSO-333,0.377919532669719,0.415698387884289,0.813136794654054,5083.38243225257,567.550798170732,547.256280292816,22.0973947,0.630024073875658
MOPSO-333,0.317731986299691,0.501801867648387,0.804698559331651,5082.12706558845,454.157313657207,660.609306018488,22.0973947,0.630024073875658
MOPSO-333,0.280841922011407,0.581108330935669,0.825851952125698,5128.17117032145,419.687811877231,765.014233645625,22.0973947,0.630024073875658
MOPSO-333,0.306174815238932,0.517540386651151,0.827884356027737,5160.52153120261,457.747687026932,681.328663172136,22.0973947,0.630024073875658
MOPSO-333,0.309568699046188,0.512113052455526,0.817669957585691,5122.43158890585,454.157313657207,674.183716714873,22.0973947,0.630024073875658
MOPSO-333,0.352955164260404,0.457971442156278,0.853604958378779,5196.65614453386,571.141171540458,602.907673494621,22.0973947,0.630024073875658
MOPSO-333,0.292413579095862,0.540469084387309,0.840492337702929,5172.58064485456,454.157313657207,711.513706464969,22.0973947,0.630024073875658
MOPSO-333,0.330638231588772,0.48920449715697,0.794623939659316,5030.56472197882,469.456998367534,644.025190425231,22.0973947,0.630024073875658
MOPSO-333,0.455701431874394,0.312402977490158,0.829732808806799,5158.08675619629,707.721602265736,411.270518232687,22.0973947,0.630024073875658
MOPSO-333,0.366990718135296,0.431436906887053,0.836322591350141,5166.44949593343,571.141171540458,567.975637446465,22.0973947,0.630024073875658
MOPSO-333,0.374525648862463,0.421125722079914,0.823351193096101,5121.47237454933,571.141171540458,554.40122675008,22.0973947,0.630024073875658
MOPSO-333,0.439876939743446,0.348679063978105,0.850947870714768,5205.61443644194,707.721602265736,459.027056948205,22.0973947,0.630024073875658
MOPSO-333,0.305524561712038,0.527871713895891,0.830417718030594,5122.54077327899,469.456998367534,694.929590871712,22.0973947,0.630024073875658
MOPSO-333,0.432339106923406,0.357295516360638,0.869080174325771,5290.75804834544,707.721602265736,470.370395815081,22.0973947,0.630024073875658
MOPSO-333,0.322679681662365,0.499515681964109,0.807595337913356,5072.39171733028,469.456998367534,657.599601121616,22.0973947,0.630024073875658
MOPSO-333,0.436921618202886,0.357112076977686,0.858183701015943,5239.98356432555,707.721602265736,470.128902565889,22.0973947,0.630024073875658
MOPSO-333,0.275538944556417,0.593396459025487,0.839239472867089,5172.7596316504,424.167180746567,781.191239537856,22.0973947,0.630024073875658
MOPSO-333,0.272585461359072,0.613131141864049,0.837510448644285,5143.54864136313,422.790634457673,807.171444026877,22.0973947,0.630024073875658
MOPSO-333,0.284235805818663,0.575680996740044,0.815637553683651,5090.08122802468,416.097438507506,757.869287188362,22.0973947,0.630024073875658
MOPSO-333,0.289019695288606,0.545896418582934,0.850706736144975,5210.67058715133,457.747687026932,718.658652922232,22.0973947,0.630024073875658
MOPSO-333,0.454070051979175,0.314626065479873,0.839601376760161,5222.80218656982,707.721602265736,414.197156630799,22.0973947,0.630024073875658
MOPSO-333,0.327244347781515,0.494631831352595,0.804838338101362,5068.65466427558,473.047371737259,651.170136882495,22.0973947,0.630024073875658
MOPSO-333,0.430695143653425,0.395970543509026,0.873466286212586,5312.68791316308,707.721602265736,521.285078465574,22.0973947,0.630024073875658
