Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,0.814161150267375,0.756732159937559,0.751912547753558,0.782868637671882,NaN,0.782868637671882
0.2~0.4,0.599302945016653,0.554721241083459,0.625762433183974,0.616072384226814,0.626294824327752,NaN,0.626294824327752
0.4~0.6,0.437423583477173,0.417539843469234,0.423667447653849,0.38166418098883,0.372836681692172,0.358380643266041,0.372836681692172
0.6~0.8,0.374643799944312,0.351996183371454,NaN,0.342928636705302,0.332613335310207,0.334648287111571,0.329658475029688
0.8~1.0,0.318466997703315,0.300164668131452,0.359102370533339,0.299942482609162,0.304367131069536,0.292408497559975,0.292408497559975
total,0.549745522850125,0.498574894185038,0.611574172878918,0.595483208166488,0.604118606421693,0.32597011240461,0.588076106016492
