MOPSO,MOEA/D,NSGA-II,ESGS-NSGA-II,MEOS,EOS,TCHS-NSGA-II
0.398857863998017,0.382692951091774,0.410985906619835,0.44670875292735,0.464212200586439,0,0.464212200586439
0.428610098089972,0.390678443151076,0.410985906619835,0.448939311257716,0.466189610870524,0,0.466189610870524
0.428624830389213,0.384328713023744,0.410985906619835,0.449904383047311,0.46733938504685,0,0.46733938504685
0.431630328895076,0.384328713023744,0.426185151004994,0.459917843926142,0.468167238350461,0,0.468167238350461
0.431654684518349,0.384328713023744,0.426187498821264,0.462600165156929,0.470107920496735,0,0.470107920496735
0.431654684518349,0.38920155690342,0.429464195400097,0.468636358038586,0.4981744964179,0,0.4981744964179
0.431866182901725,0.38920155690342,0.438959681395702,0.470481734528422,0.508226424177127,0,0.508226424177127
0.489223610960946,0.38920155690342,0.449538937558839,0.480775430552909,0.511008307990253,0,0.511008307990253
0.490087694192585,0.38920155690342,0.456816850522028,0.481247710524809,0.51150603004141,0,0.51150603004141
0.494984061102708,0.392291534983453,0.4622267074333,0.49750345832515,0.513037228235911,0,0.513037228235911
0.495631237573026,0.392291534983453,0.474755368472951,0.499976787866926,0.513292917502101,0,0.513292917502101
0.495631237573026,0.392428779997575,0.474811527233745,0.503639941732416,0.516579729758831,0,0.516579729758831
0.495824319285436,0.392428779997575,0.475560638013292,0.514092506785822,0.52111855799111,0,0.52111855799111
0.497458746847934,0.392291534983453,0.47587994863393,0.514989990354337,0.521242783029783,0,0.521242783029783
0.497553950743272,0.392291534983453,0.483471703480103,0.524309000305022,0.526553051340721,0,0.526553051340721
0.497805818042251,0.392291534983453,0.483605242982535,0.52508807351427,0.526633430673859,0,0.526633430673859
0.497805818042251,0.392291534983453,0.483825254576583,0.525347579532654,0.526633430673859,0,0.526633430673859
0.497805818042251,0.392291534983453,0.484207955091371,0.525898006293444,0.526633430673859,0,0.526633430673859
0.497805818042251,0.392291534983453,0.484207955091371,0.529035090915291,0.526633430673859,0,0.526633430673859
0.497805818042251,0.392291534983453,0.484693858548239,0.529239862423354,0.531936746454789,0,0.531936746454789
0.498344929603094,0.392291534983453,0.487114131822969,0.529641782242797,0.533126469633161,0,0.533126469633161
0.499542599028177,0.392291534983453,0.489365837147694,0.529651988365174,0.53365253240898,0,0.53365253240898
0.499546939681328,0.392291534983453,0.489365837147694,0.530113300854058,0.53365253240898,0,0.53365253240898
0.499546939681328,0.392291534983453,0.489655012695257,0.530731795279506,0.537635408959317,0,0.537635408959317
0.499546939681328,0.392291534983453,0.490497683924245,0.531300679782433,0.537713074862173,0,0.537713074862173
0.499710180494483,0.392291534983453,0.490497683924245,0.533211991701555,0.540741385003376,0,0.540741385003376
0.499710180494483,0.392291534983453,0.491913481301974,0.537605474436821,0.540741385003376,0,0.540741385003376
0.500616077322167,0.392291534983453,0.491913481301974,0.53838792009681,0.540741385003376,0,0.540741385003376
0.500616077322167,0.392291534983453,0.491913481301974,0.53838792009681,0.540741385003376,0,0.540741385003376
0.500616077322167,0.392291534983453,0.491913481301974,0.544944222972103,0.540741385003376,0,0.540741385003376
0.500623236574914,0.392291534983453,0.491913481301974,0.55381111025736,0.540741385003376,0,0.540741385003376
0.500983995236866,0.392291534983453,0.491913481301974,0.553945758897668,0.543293845037811,0,0.543293845037811
0.501504907644794,0.392291534983453,0.491913481301974,0.554682673540617,0.543321556643508,0,0.543321556643508
0.501504907644794,0.392291534983453,0.491913481301974,0.554682673540617,0.543425690431018,0,0.543425690431018
0.502145561585456,0.392291534983453,0.491913481301974,0.555098718843645,0.543425690431018,0,0.543425690431018
0.502145561585456,0.392291534983453,0.491913481301974,0.55521394435384,0.543528254570839,0,0.543528254570839
0.502166970270565,0.392291534983453,0.491913481301974,0.555784280461242,0.543528254570839,0,0.543528254570839
0.50219232401477,0.392291534983453,0.491913481301974,0.555784280461242,0.543962084487605,0,0.543962084487605
0.50219232401477,0.392291534983453,0.491913481301974,0.555808635661194,0.544187545209407,0,0.544187545209407
0.50219232401477,0.392291534983453,0.491913481301974,0.555808635661194,0.544187545209407,0,0.544187545209407
0.504966213456411,0.392291534983453,0.491913481301974,0.555808635661194,0.544188214846166,0,0.544188214846166
0.505068286909262,0.392291534983453,0.491913481301974,0.555808635661194,0.545070256096831,0,0.545070256096831
0.505068286909262,0.392291534983453,0.491913481301974,0.555808635661194,0.54826544116558,0,0.54826544116558
0.505068286909262,0.392291534983453,0.491913481301974,0.555808635661194,0.563890978459682,0,0.563890978459682
0.505071926050278,0.392291534983453,0.491913481301974,0.555808635661194,0.563915618976434,0,0.563915618976434
0.505071926050278,0.392291534983453,0.491913481301974,0.555810807123356,0.563915618976434,0,0.563915618976434
0.505071926050278,0.392291534983453,0.491913481301974,0.555810807123356,0.563915618976434,0,0.563915618976434
0.505092393789173,0.392291534983453,0.491913481301974,0.555810807123356,0.563915618976434,0,0.563915618976434
0.505387635264555,0.392291534983453,0.491913481301974,0.556704055295169,0.563942988704296,0,0.563942988704296
0.505634786413785,0.398955924355862,0.491913481301974,0.556704055295169,0.563944262785422,0,0.563944262785422
0.50573235170149,0.399432251400972,0.491913481301974,0.556704055295169,0.565674639802054,0,0.565674639802054
0.50573235170149,0.399432251400972,0.491913481301974,0.556710163252766,0.565674639802054,0,0.565674639802054
0.505884860982149,0.399432251400972,0.491913481301974,0.556710163252766,0.565674639802054,0,0.565674639802054
0.505884860982149,0.399432251400972,0.491913481301974,0.556711165598669,0.565829838482034,0,0.565829838482034
0.505918426490588,0.399432251400972,0.491913481301974,0.56063991372336,0.571143506558894,0,0.571143506558894
0.50639042741491,0.399432251400972,0.491913481301974,0.561172520587712,0.571145169574333,0,0.571145169574333
0.50639042741491,0.399432251400972,0.491913481301974,0.561172520587712,0.571145169574333,0,0.571145169574333
0.506504502119887,0.399432251400972,0.491913481301974,0.561172520587712,0.571332908275618,0,0.571332908275618
0.506504502119887,0.399432251400972,0.491913481301974,0.561172520587712,0.571371533445113,0,0.571371533445113
0.506504502119887,0.399432251400972,0.491913481301974,0.561172520587712,0.5715292304487,0,0.5715292304487
0.506504502119887,0.399432251400972,0.491913481301974,0.561172520587712,0.5715292304487,0,0.5715292304487
0.506504502119887,0.399432251400972,0.491913481301974,0.561184995537708,0.572514445815238,0,0.572514445815238
0.506504502119887,0.399432251400972,0.491913481301974,0.561208362314452,0.572514445815238,0,0.572514445815238
0.507456215235001,0.399432251400972,0.491913481301974,0.561208362314452,0.572514445815238,0,0.572514445815238
0.507655865177817,0.399432251400972,0.491913481301974,0.561208362314452,0.572524009868906,0,0.572524009868906
0.507655865177817,0.399432251400972,0.491913481301974,0.561208362314452,0.572660778145002,0,0.572660778145002
0.5083110712078,0.399432251400972,0.491913481301974,0.561208362314452,0.572660778145002,0,0.572660778145002
0.5083110712078,0.399432251400972,0.491913481301974,0.561208362314452,0.572661137917705,0,0.572661137917705
0.5083110712078,0.399432251400972,0.491913481301974,0.561208362314452,0.572661137917705,0,0.572661137917705
0.5083110712078,0.399432251400972,0.491913481301974,0.561233801535179,0.572723168751723,0,0.572723168751723
0.5083110712078,0.399432251400972,0.491913481301974,0.561233801535179,0.572723168751723,0,0.572723168751723
0.5083110712078,0.399432251400972,0.491913481301974,0.561233801535179,0.572814877538239,0,0.572814877538239
0.5083110712078,0.399432251400972,0.491913481301974,0.561233801535179,0.572942598599793,0,0.572942598599793
0.5083110712078,0.399432251400972,0.491913481301974,0.563907243216387,0.572942598599793,0,0.572942598599793
0.5083110712078,0.399432251400972,0.491913481301974,0.564220902350501,0.572990543716359,0,0.572990543716359
0.508609002855697,0.399432251400972,0.491913481301974,0.564220902350501,0.572990543716359,0,0.572990543716359
0.508609002855697,0.399432251400972,0.491913481301974,0.564220902350501,0.573030641772643,0,0.573030641772643
0.508609002855697,0.399432251400972,0.491913481301974,0.564220902350501,0.573030641772643,0,0.573030641772643
0.508609002855697,0.399432251400972,0.491913481301974,0.564220902350501,0.573030641772643,0,0.573030641772643
0.508609002855697,0.399569287691807,0.491913481301974,0.564220902350501,0.573328781986834,0,0.573328781986834
0.508609002855697,0.406603563888884,0.491913481301974,0.564220902350501,0.573329015840305,0,0.573329015840305
0.508725212544141,0.41163693735672,0.493909440702265,0.564220902350501,0.573329015840305,0,0.573329015840305
0.508725212544141,0.41163693735672,0.493909440702265,0.564220902350501,0.573346678121404,0,0.573346678121404
0.508725212544141,0.41163693735672,0.493909440702265,0.564220902350501,0.573346678121404,0,0.573346678121404
0.508725212544141,0.41163693735672,0.493909440702265,0.564220902350501,0.573346678121404,0,0.573346678121404
0.508725212544141,0.41163693735672,0.493909440702265,0.564220902350501,0.574073364787207,0,0.574073364787207
0.508814614082393,0.41163693735672,0.493909440702265,0.564220902350501,0.574073364787207,0,0.574073364787207
0.508814614082393,0.41163693735672,0.493909440702265,0.564220902350501,0.574073364787207,0,0.574073364787207
0.508855890484026,0.41163693735672,0.493909440702265,0.564220902350501,0.574073364787207,0,0.574073364787207
0.508855890484026,0.414226910015463,0.493909440702265,0.564220902350501,0.574073364787207,0,0.574073364787207
0.508855890484026,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.508855890484026,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.508855890484026,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.508855890484026,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.508855890484026,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.508855890484026,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.509079555340391,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.509079555340391,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.509079555340391,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.509079555340391,0.427086419397989,0.493909440702265,0.564220902350501,0.574101115591239,0,0.574101115591239
0.509081731910354,0.427086419397989,0.501147323980878,0.564220902350501,0.574101115591239,0,0.574101115591239
0.509081731910354,0.427086419397989,0.502340264849658,0.564220902350501,0.574211538870137,0,0.574211538870137
0.50915115025283,0.427086419397989,0.502340264849658,0.564220902350501,0.574211538870137,0,0.574211538870137
0.50915115025283,0.427086419397989,0.502340264849658,0.564220902350501,0.574211538870137,0,0.574211538870137
0.50915115025283,0.43335797602328,0.502656533862867,0.564220902350501,0.574211538870137,0,0.574211538870137
0.50915115025283,0.43335797602328,0.502656533862867,0.564220902350501,0.574211538870137,0,0.574211538870137
0.514240565217467,0.427086419397989,0.502656533862867,0.564220902350501,0.574211538870137,0,0.574211538870137
0.514240565217467,0.427086419397989,0.502656567940476,0.564220902350501,0.574211538870137,0,0.574211538870137
0.514240565217467,0.427086419397989,0.502694565836293,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240565217467,0.427086419397989,0.502706872935522,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240565217467,0.427086419397989,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240565217467,0.427086419397989,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240565217467,0.427086419397989,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.433990670988249,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.437601603974406,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.437601603974406,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.449619390321772,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.449619390321772,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.449619390321772,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.449619390321772,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514240630166035,0.449619390321772,0.502887810889357,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514345847492205,0.449619390321772,0.503019135134603,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514345847492205,0.449619390321772,0.503019135134603,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514345847492205,0.449619390321772,0.503019135134603,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514345847492205,0.449619390321772,0.503019135134603,0.564220902350501,0.575071916562125,0,0.575071916562125
0.514345847492205,0.449619390321772,0.503019135134603,0.564220902350501,0.575071916562125,0,0.575071916562125
