Row,Data_MOPSO,Data_MOEAD,Data_FSGS,Data_ESGS_Forward,Data_MEOS,Data_EOS,Data_TCHS
0~0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2~0.4,0.586901719101726,0.567960221706997,0.586901719101727,0.54155925898733,0.567458307796285,NaN,0.567458307796285
0.4~0.6,0.49453353845908,0.49108863310841,0.482781252700886,0.451947366061375,0.445572752696428,NaN,0.445572752696428
0.6~0.8,0.469077580742919,0.45378170309456,0.451976787755919,0.412591539741654,0.39901367497398,0.392350751427539,0.39901367497398
0.8~1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
total,0.534410058810606,0.538093188582093,0.513343067220045,0.466562849282854,0.474266807291149,0.392350751427539,0.474266807291149
